t,detected,conf,cx,cy,size
22.530,True,0.888,-0.829,0.624,0.0544
22.599,True,0.874,-0.815,0.647,0.0602
22.667,True,0.899,-0.789,0.669,0.0624
22.735,True,0.885,-0.746,0.676,0.0624
22.797,True,0.863,-0.699,0.682,0.0629
22.867,True,0.868,-0.656,0.693,0.0604
22.932,True,0.855,-0.605,0.693,0.0600
22.998,True,0.858,-0.541,0.708,0.0565
23.065,True,0.862,-0.476,0.717,0.0551
23.133,True,0.869,-0.401,0.724,0.0525
23.200,True,0.850,-0.338,0.732,0.0534
23.266,True,0.845,-0.268,0.729,0.0511
23.332,True,0.856,-0.191,0.744,0.0476
23.399,True,0.842,-0.127,0.751,0.0471
23.469,True,0.772,-0.059,0.744,0.0434
23.532,True,0.856,-0.020,0.757,0.0460
23.600,True,0.853,0.033,0.758,0.0461
23.665,True,0.847,0.078,0.761,0.0439
23.732,True,0.843,0.119,0.760,0.0434
23.798,True,0.785,0.158,0.756,0.0406
23.868,True,0.841,0.191,0.760,0.0393
23.934,True,0.846,0.225,0.761,0.0393
24.000,True,0.814,0.260,0.767,0.0381
24.069,True,0.729,0.296,0.768,0.0360
24.132,True,0.708,0.332,0.768,0.0346
24.201,True,0.746,0.320,0.768,0.0457
24.264,True,0.651,0.350,0.765,0.0458
24.335,True,0.546,0.370,0.758,0.0480
24.400,True,0.720,0.399,0.756,0.0483
24.470,True,0.539,0.434,0.751,0.0484
24.532,True,0.641,0.462,0.756,0.0483
24.599,True,0.623,0.481,0.756,0.0504
24.667,True,0.483,0.510,0.758,0.0501
24.736,True,0.518,0.526,0.761,0.0505
24.800,True,0.506,0.499,0.765,0.0651
24.873,True,0.524,0.553,0.762,0.0564
24.934,True,0.443,0.588,0.753,0.0531
24.992,True,0.525,0.641,0.749,0.0482
25.058,True,0.687,0.671,0.758,0.0441
25.105,True,0.582,0.669,0.765,0.0465
25.156,True,0.548,0.677,0.778,0.0472
25.229,True,0.517,0.744,0.782,0.0382
25.307,True,0.545,0.776,0.785,0.0342
